run,solver,cost,time_sec
1,Serial SA,14.9942,1.48
1,Baseline A,14.7349,1.62
1,Baseline B,7.5409,3.05
1,AIPSA-GM (guided),3.5341,4.85
2,Serial SA,19.7179,1.48
2,Baseline A,17.3911,1.6
2,Baseline B,11.604,2.99
2,AIPSA-GM (guided),6.4794,4.81
3,Serial SA,16.5621,1.47
3,Baseline A,11.0297,1.6
3,Baseline B,4.5394,3.03
3,AIPSA-GM (guided),3.4532,4.74
4,Serial SA,25.6877,1.45
4,Baseline A,13.4763,1.57
4,Baseline B,8.4152,3.04
4,AIPSA-GM (guided),4.0623,4.76
5,Serial SA,13.5762,1.47
5,Baseline A,11.9211,1.62
5,Baseline B,7.4418,3.02
5,AIPSA-GM (guided),3.9972,4.8
