run,policy,cost,time_sec
1,AIPSA-GM (random),2.6331,4.81
1,AIPSA-GM (best_only),4.1097,4.82
1,AIPSA-GM (quality_only),3.2545,4.73
1,AIPSA-GM (guided),5.3867,4.7
2,AIPSA-GM (random),5.5919,4.6
2,AIPSA-GM (best_only),3.2989,4.74
2,AIPSA-GM (quality_only),3.7871,4.68
2,AIPSA-GM (guided),5.6126,4.64
3,AIPSA-GM (random),6.883,4.63
3,AIPSA-GM (best_only),5.294,4.69
3,AIPSA-GM (quality_only),5.2117,4.66
3,AIPSA-GM (guided),3.6837,4.85
4,AIPSA-GM (random),5.5125,4.73
4,AIPSA-GM (best_only),6.1594,4.74
4,AIPSA-GM (quality_only),4.9486,4.8
4,AIPSA-GM (guided),3.6149,4.8
5,AIPSA-GM (random),4.6675,4.66
5,AIPSA-GM (best_only),4.7143,4.71
5,AIPSA-GM (quality_only),3.3063,4.68
5,AIPSA-GM (guided),6.47,4.64
