run,topology,cost,time_sec
1,AIPSA-GM (ring),5.3204,4.15
1,AIPSA-GM (full),3.5413,4.61
1,AIPSA-GM (random_k),3.5258,4.14
2,AIPSA-GM (ring),4.0414,4.09
2,AIPSA-GM (full),4.7327,4.74
2,AIPSA-GM (random_k),4.3315,4.17
3,AIPSA-GM (ring),3.1825,4.15
3,AIPSA-GM (full),3.903,4.62
3,AIPSA-GM (random_k),5.2668,4.17
4,AIPSA-GM (ring),4.1604,4.17
4,AIPSA-GM (full),4.1235,4.72
4,AIPSA-GM (random_k),4.568,4.25
5,AIPSA-GM (ring),4.3971,4.18
5,AIPSA-GM (full),3.9153,4.77
5,AIPSA-GM (random_k),4.7266,4.18
