run,solver,cost,time_sec
1,Serial SA,46048.6816,10.17
1,Baseline A,46048.6816,11.03
1,Baseline B,33464.2235,18.79
1,AIPSA-GM (guided),29063.6159,18.3
2,Serial SA,47035.8032,10.51
2,Baseline A,46272.0268,10.95
2,Baseline B,33377.391,18.51
2,AIPSA-GM (guided),29376.9766,18.5
3,Serial SA,46548.5345,10.61
3,Baseline A,45623.9406,10.89
3,Baseline B,33734.1779,18.52
3,AIPSA-GM (guided),29907.026,18.29
4,Serial SA,47378.9042,10.61
4,Baseline A,47359.0671,10.83
4,Baseline B,33595.9645,18.15
4,AIPSA-GM (guided),30001.7721,18.52
5,Serial SA,47278.0508,10.63
5,Baseline A,47278.0508,11.09
5,Baseline B,34498.0877,18.35
5,AIPSA-GM (guided),29542.4339,18.42
