run,policy,cost,time_sec
1,AIPSA-GM (random),29657.4677,16.31
1,AIPSA-GM (best_only),28963.0207,16.65
1,AIPSA-GM (quality_only),29153.8266,16.14
1,AIPSA-GM (guided),29180.8558,18.3
2,AIPSA-GM (random),29761.8811,16.16
2,AIPSA-GM (best_only),30121.083,16.3
2,AIPSA-GM (quality_only),29400.2183,16.47
2,AIPSA-GM (guided),29489.274,18.43
3,AIPSA-GM (random),29774.8216,16.24
3,AIPSA-GM (best_only),29024.8563,16.47
3,AIPSA-GM (quality_only),28891.7645,16.13
3,AIPSA-GM (guided),29407.9797,18.23
4,AIPSA-GM (random),30205.9474,16.32
4,AIPSA-GM (best_only),29776.879,16.31
4,AIPSA-GM (quality_only),29148.2187,16.36
4,AIPSA-GM (guided),29601.7077,18.46
5,AIPSA-GM (random),30789.7415,16.47
5,AIPSA-GM (best_only),29631.4934,16.36
5,AIPSA-GM (quality_only),29867.4217,16.4
5,AIPSA-GM (guided),30187.405,18.27
