n_islands,solver,mean_cost,best_cost,mean_time
2,Serial SA,46857.9948,46048.6816,10.58
2,Baseline A,46669.0937,46048.6816,10.62
2,Baseline B,35357.1519,34157.2779,17.44
2,AIPSA-GM (guided),33592.4984,33135.8654,15.97
4,Serial SA,46857.9948,46048.6816,10.58
4,Baseline A,46516.3534,45623.9406,11.09
4,Baseline B,33733.9689,33377.391,18.81
4,AIPSA-GM (guided),29623.9287,29167.422,18.29
8,Serial SA,46857.9948,46048.6816,10.57
8,Baseline A,46219.7149,45564.4477,12.73
8,Baseline B,32106.4264,31872.9534,23.68
8,AIPSA-GM (guided),26854.208,25906.9662,26.93
16,Serial SA,46857.9948,46048.6816,10.48
16,Baseline A,45967.9056,45564.4477,19.04
16,Baseline B,31134.2724,30491.7688,35.46
16,AIPSA-GM (guided),25987.3182,25368.6519,80.38
