run,topology,cost,time_sec
1,AIPSA-GM (ring),29428.5952,17.29
1,AIPSA-GM (full),29376.1196,18.37
1,AIPSA-GM (random_k),29795.605,17.2
2,AIPSA-GM (ring),29932.6274,17.55
2,AIPSA-GM (full),29439.5146,18.57
2,AIPSA-GM (random_k),30285.2125,17.38
3,AIPSA-GM (ring),30183.6825,17.35
3,AIPSA-GM (full),29297.3701,18.36
3,AIPSA-GM (random_k),30112.4537,17.3
4,AIPSA-GM (ring),30216.5323,17.17
4,AIPSA-GM (full),29715.507,18.48
4,AIPSA-GM (random_k),30268.6896,17.21
5,AIPSA-GM (ring),30350.4958,17.26
5,AIPSA-GM (full),29323.2236,18.42
5,AIPSA-GM (random_k),30595.4746,17.44
