run,solver,cost,time_sec
1,Serial SA,14.9942,1.57
1,Baseline A,10.9732,1.95
1,Baseline B,12.516,3.46
1,AIPSA-GM (guided),4.5757,4.76
2,Serial SA,19.7179,1.7
2,Baseline A,12.3275,1.98
2,Baseline B,3.3766,3.58
2,AIPSA-GM (guided),5.2217,5.1
3,Serial SA,16.5621,1.65
3,Baseline A,15.6791,1.93
3,Baseline B,7.6093,3.39
3,AIPSA-GM (guided),2.5255,4.91
4,Serial SA,25.6877,1.63
4,Baseline A,13.8873,1.98
4,Baseline B,6.3039,3.48
4,AIPSA-GM (guided),4.9026,4.82
5,Serial SA,13.5762,1.59
5,Baseline A,12.9715,1.91
5,Baseline B,7.712,3.4
5,AIPSA-GM (guided),5.3022,4.62
6,Serial SA,12.7841,1.6
6,Baseline A,15.6216,1.94
6,Baseline B,4.8438,3.31
6,AIPSA-GM (guided),3.9704,4.58
7,Serial SA,26.7307,1.6
7,Baseline A,10.7233,1.94
7,Baseline B,4.3761,3.41
7,AIPSA-GM (guided),3.9318,5.04
8,Serial SA,24.1394,1.65
8,Baseline A,4.9738,1.95
8,Baseline B,2.4763,3.45
8,AIPSA-GM (guided),3.6059,4.99
9,Serial SA,21.3268,1.7
9,Baseline A,14.9832,1.96
9,Baseline B,3.3907,3.47
9,AIPSA-GM (guided),3.2595,4.67
10,Serial SA,36.9295,1.76
10,Baseline A,12.5969,1.97
10,Baseline B,3.6736,3.39
10,AIPSA-GM (guided),5.7405,4.91
