run,solver,cost,time_sec
1,Serial SA,46048.6816,28.56
1,Baseline A,46048.6816,25.62
1,Baseline B,33464.2235,43.58
1,AIPSA-GM (guided),28774.4999,20.98
2,Serial SA,47035.8032,12.58
2,Baseline A,46272.0268,13.24
2,Baseline B,33377.391,21.87
2,AIPSA-GM (guided),29175.3019,20.97
3,Serial SA,46548.5345,12.55
3,Baseline A,45623.9406,13.22
3,Baseline B,33734.1779,21.88
3,AIPSA-GM (guided),29201.3519,20.95
4,Serial SA,47378.9042,12.71
4,Baseline A,47359.0671,14.77
4,Baseline B,33595.9645,25.9
4,AIPSA-GM (guided),29856.9799,24.07
5,Serial SA,47278.0508,12.58
5,Baseline A,47278.0508,15.47
5,Baseline B,34498.0877,24.98
5,AIPSA-GM (guided),29895.5473,24.69
6,Serial SA,47248.5988,13.78
6,Baseline A,47248.5988,16.21
6,Baseline B,33884.6648,25.72
6,AIPSA-GM (guided),29077.8891,23.38
7,Serial SA,46878.0859,13.37
7,Baseline A,46846.3295,14.72
7,Baseline B,34158.9282,24.72
7,AIPSA-GM (guided),29264.0577,22.41
8,Serial SA,46553.3206,12.37
8,Baseline A,46202.5761,14.88
8,Baseline B,32914.9027,23.26
8,AIPSA-GM (guided),28965.2894,23.04
9,Serial SA,46538.4166,12.88
9,Baseline A,46403.6024,15.35
9,Baseline B,33979.8272,26.07
9,AIPSA-GM (guided),29961.6318,22.54
10,Serial SA,47313.3895,13.23
10,Baseline A,47313.3895,15.02
10,Baseline B,33666.8409,25.91
10,AIPSA-GM (guided),29123.7611,24.44
