run,policy,cost,time_sec
1,AIPSA-GM (random),3.3716,4.81
1,AIPSA-GM (best_only),5.479,4.56
1,AIPSA-GM (quality_only),6.1177,4.63
1,AIPSA-GM (guided),4.2225,4.81
2,AIPSA-GM (random),6.0347,4.69
2,AIPSA-GM (best_only),5.9765,4.73
2,AIPSA-GM (quality_only),2.6998,4.88
2,AIPSA-GM (guided),5.4073,4.79
3,AIPSA-GM (random),2.4972,4.66
3,AIPSA-GM (best_only),1.6706,4.66
3,AIPSA-GM (quality_only),4.7863,4.75
3,AIPSA-GM (guided),5.2971,4.89
4,AIPSA-GM (random),5.8048,4.63
4,AIPSA-GM (best_only),4.0078,4.6
4,AIPSA-GM (quality_only),6.3397,4.65
4,AIPSA-GM (guided),1.8065,4.66
5,AIPSA-GM (random),3.9615,4.8
5,AIPSA-GM (best_only),6.8406,4.8
5,AIPSA-GM (quality_only),3.9052,5.05
5,AIPSA-GM (guided),4.7785,4.88
6,AIPSA-GM (random),2.7829,4.91
6,AIPSA-GM (best_only),3.6329,4.75
6,AIPSA-GM (quality_only),3.4142,4.82
6,AIPSA-GM (guided),4.6198,4.65
7,AIPSA-GM (random),2.5975,4.67
7,AIPSA-GM (best_only),3.6865,4.65
7,AIPSA-GM (quality_only),7.2567,4.95
7,AIPSA-GM (guided),6.4975,5.0
8,AIPSA-GM (random),3.7591,4.85
8,AIPSA-GM (best_only),2.0162,4.89
8,AIPSA-GM (quality_only),4.6886,4.91
8,AIPSA-GM (guided),3.9577,4.73
9,AIPSA-GM (random),5.5384,4.64
9,AIPSA-GM (best_only),6.5675,4.59
9,AIPSA-GM (quality_only),4.7947,4.69
9,AIPSA-GM (guided),2.4009,4.87
10,AIPSA-GM (random),5.51,4.72
10,AIPSA-GM (best_only),5.5754,4.84
10,AIPSA-GM (quality_only),3.0374,4.88
10,AIPSA-GM (guided),5.1796,4.66
