run,policy,cost,time_sec
1,AIPSA-GM (random),6.2884,6.66
1,AIPSA-GM (best_only),2.2968,7.6
1,AIPSA-GM (quality_only),2.7628,7.54
1,AIPSA-GM (guided),8.9626,7.79
2,AIPSA-GM (random),5.5662,8.04
2,AIPSA-GM (best_only),5.5503,7.91
2,AIPSA-GM (quality_only),8.609,8.22
2,AIPSA-GM (guided),4.9069,4.89
3,AIPSA-GM (random),3.9452,4.26
3,AIPSA-GM (best_only),4.0521,4.25
3,AIPSA-GM (quality_only),5.8785,4.3
3,AIPSA-GM (guided),3.6884,4.5
4,AIPSA-GM (random),5.7505,4.4
4,AIPSA-GM (best_only),4.4198,4.38
4,AIPSA-GM (quality_only),3.2795,4.51
4,AIPSA-GM (guided),3.2121,4.47
5,AIPSA-GM (random),3.5373,4.55
5,AIPSA-GM (best_only),6.1969,4.53
5,AIPSA-GM (quality_only),5.0594,4.57
5,AIPSA-GM (guided),5.1605,4.58
6,AIPSA-GM (random),4.8485,4.53
6,AIPSA-GM (best_only),2.8152,4.43
6,AIPSA-GM (quality_only),5.718,4.45
6,AIPSA-GM (guided),4.4659,4.42
7,AIPSA-GM (random),1.8049,4.4
7,AIPSA-GM (best_only),5.782,4.46
7,AIPSA-GM (quality_only),5.748,4.38
7,AIPSA-GM (guided),5.045,4.71
8,AIPSA-GM (random),6.9491,4.49
8,AIPSA-GM (best_only),4.5728,4.35
8,AIPSA-GM (quality_only),4.5651,4.4
8,AIPSA-GM (guided),5.3325,4.36
9,AIPSA-GM (random),6.0355,4.36
9,AIPSA-GM (best_only),4.652,4.33
9,AIPSA-GM (quality_only),2.8298,4.38
9,AIPSA-GM (guided),6.6165,4.33
10,AIPSA-GM (random),4.9276,4.36
10,AIPSA-GM (best_only),3.7441,4.37
10,AIPSA-GM (quality_only),8.7926,4.33
10,AIPSA-GM (guided),2.9001,4.31
