run,policy,cost,time_sec
1,AIPSA-GM (random),72519.3567,34.41
1,AIPSA-GM (best_only),71868.2306,34.66
1,AIPSA-GM (quality_only),71231.4427,34.4
1,AIPSA-GM (guided),71145.2082,37.9
2,AIPSA-GM (random),73406.531,34.54
2,AIPSA-GM (best_only),72098.138,33.16
2,AIPSA-GM (quality_only),69889.711,33.89
2,AIPSA-GM (guided),69905.2633,38.11
3,AIPSA-GM (random),72743.7958,33.09
3,AIPSA-GM (best_only),71039.6673,32.65
3,AIPSA-GM (quality_only),71299.2534,38.84
3,AIPSA-GM (guided),71318.0895,39.68
4,AIPSA-GM (random),73073.9753,34.75
4,AIPSA-GM (best_only),71093.5931,35.57
4,AIPSA-GM (quality_only),70235.1146,34.88
4,AIPSA-GM (guided),69979.8106,39.12
5,AIPSA-GM (random),74437.6189,33.13
5,AIPSA-GM (best_only),72236.2789,34.81
5,AIPSA-GM (quality_only),70144.4911,34.23
5,AIPSA-GM (guided),70996.2336,41.28
6,AIPSA-GM (random),73932.1991,34.44
6,AIPSA-GM (best_only),72071.6196,33.04
6,AIPSA-GM (quality_only),71796.4834,34.11
6,AIPSA-GM (guided),70372.6528,38.38
7,AIPSA-GM (random),73261.5743,34.13
7,AIPSA-GM (best_only),71072.8225,34.31
7,AIPSA-GM (quality_only),70879.0216,34.88
7,AIPSA-GM (guided),72418.9462,38.74
8,AIPSA-GM (random),73380.4899,34.8
8,AIPSA-GM (best_only),70844.5505,33.23
8,AIPSA-GM (quality_only),69777.1577,33.9
8,AIPSA-GM (guided),71467.7612,38.9
9,AIPSA-GM (random),74895.8174,34.15
9,AIPSA-GM (best_only),72319.5047,33.66
9,AIPSA-GM (quality_only),71121.0755,33.72
9,AIPSA-GM (guided),72054.4235,39.13
10,AIPSA-GM (random),73826.4369,33.88
10,AIPSA-GM (best_only),73461.4687,35.87
10,AIPSA-GM (quality_only),72112.7566,34.38
10,AIPSA-GM (guided),71267.9493,41.04
