run,solver,cost,time_sec
1,Baseline B (sync),7.6472,3.32
1,AIPSA-GM (async),4.3998,4.58
2,Baseline B (sync),6.3524,3.3
2,AIPSA-GM (async),5.0554,4.59
3,Baseline B (sync),7.5129,3.29
3,AIPSA-GM (async),4.4111,4.57
4,Baseline B (sync),10.3935,3.33
4,AIPSA-GM (async),6.297,4.75
5,Baseline B (sync),10.4309,3.37
5,AIPSA-GM (async),5.9657,4.61
6,Baseline B (sync),9.7392,3.42
6,AIPSA-GM (async),8.0881,5.6
7,Baseline B (sync),14.0284,3.36
7,AIPSA-GM (async),4.7097,5.03
8,Baseline B (sync),7.6009,3.48
8,AIPSA-GM (async),4.0117,4.8
9,Baseline B (sync),5.3346,3.38
9,AIPSA-GM (async),2.6002,4.95
10,Baseline B (sync),9.827,3.34
10,AIPSA-GM (async),3.7005,4.7
