run,topology,cost,time_sec
1,AIPSA-GM (ring),29860.2172,20.73
1,AIPSA-GM (full),28739.6425,21.83
1,AIPSA-GM (random_k),29653.3347,20.61
2,AIPSA-GM (ring),29390.4739,20.63
2,AIPSA-GM (full),29256.9852,23.41
2,AIPSA-GM (random_k),30187.0721,21.17
3,AIPSA-GM (ring),29983.9433,21.9
3,AIPSA-GM (full),29202.7468,23.18
3,AIPSA-GM (random_k),29924.8911,20.95
4,AIPSA-GM (ring),29937.018,21.09
4,AIPSA-GM (full),29299.8337,22.6
4,AIPSA-GM (random_k),30056.7532,21.67
5,AIPSA-GM (ring),30318.8561,21.25
5,AIPSA-GM (full),29754.8691,22.12
5,AIPSA-GM (random_k),30270.9181,21.97
6,AIPSA-GM (ring),30202.4794,21.48
6,AIPSA-GM (full),29322.0983,23.21
6,AIPSA-GM (random_k),30683.1219,21.94
7,AIPSA-GM (ring),30286.1597,21.73
7,AIPSA-GM (full),29552.3324,22.4
7,AIPSA-GM (random_k),29896.9666,21.47
8,AIPSA-GM (ring),30054.3934,21.04
8,AIPSA-GM (full),29120.5027,22.36
8,AIPSA-GM (random_k),30317.6529,22.52
9,AIPSA-GM (ring),30051.2982,21.28
9,AIPSA-GM (full),29401.9968,22.7
9,AIPSA-GM (random_k),30370.5297,21.89
10,AIPSA-GM (ring),30262.3592,22.08
10,AIPSA-GM (full),29881.7131,22.79
10,AIPSA-GM (random_k),30104.3068,21.06
