n_islands,solver,mean_cost,best_cost,mean_time
2,Serial SA,46882.1786,46048.6816,13.67
2,Baseline A,46787.728,46048.6816,13.72
2,Baseline B,35315.9796,34157.2779,22.61
2,AIPSA-GM (guided),33742.2787,33368.7204,20.54
4,Serial SA,46882.1786,46048.6816,13.64
4,Baseline A,46659.6263,45623.9406,14.51
4,Baseline B,33727.5009,32914.9027,24.14
4,AIPSA-GM (guided),29555.7972,28557.0857,23.47
8,Serial SA,46882.1786,46048.6816,13.59
8,Baseline A,46284.7104,45440.3185,18.6
8,Baseline B,32349.9393,31872.9534,32.76
8,AIPSA-GM (guided),26957.5811,26373.2055,34.42
16,Serial SA,46882.1786,46048.6816,13.48
16,Baseline A,45963.4875,45361.9139,23.92
16,Baseline B,31181.0371,30491.7688,44.32
16,AIPSA-GM (guided),26063.3484,25344.72,75.36
