n_islands,solver,mean_cost,best_cost,mean_time
2,Serial SA,21.2449,12.7841,1.57
2,Baseline A,16.9788,12.0416,1.84
2,Baseline B,13.2805,6.597,3.14
2,AIPSA-GM (guided),6.3729,4.4206,4.23
4,Serial SA,21.2449,12.7841,1.57
4,Baseline A,13.5013,6.9608,1.92
4,Baseline B,7.1632,3.5978,3.31
4,AIPSA-GM (guided),4.3339,2.6899,4.34
8,Serial SA,21.2449,12.7841,1.57
8,Baseline A,11.2924,8.4362,2.28
8,Baseline B,4.6944,1.3759,4.18
8,AIPSA-GM (guided),3.8017,1.3873,5.3
16,Serial SA,21.2449,12.7841,1.58
16,Baseline A,8.5216,3.8597,3.23
16,Baseline B,3.5574,1.5489,6.96
16,AIPSA-GM (guided),3.6325,1.7398,9.29
