n_cities,n_chains,cpu_cost,gpu_cost,gain_pct,iters_per_chain
1000,32,34537.5,30229.4,12.47,930262
1000,64,34537.5,30366.8,12.08,851825
1000,128,34537.5,30726.2,11.04,783552
1000,256,34537.5,31352.1,9.22,698511
1000,512,34537.5,31204.7,9.65,713155
1000,1024,34537.5,31030.8,10.15,723463
1000,2048,34537.5,31099.0,9.96,719266
3000,32,267950.8,223074.9,16.75,279673
3000,64,267950.8,226883.8,15.33,254492
3000,128,267950.8,227896.0,14.95,252247
3000,256,267950.8,238209.5,11.1,229160
3000,512,267950.8,238677.8,10.92,229227
3000,1024,267950.8,236467.4,11.75,229415
3000,2048,267950.8,238808.3,10.88,226779
5000,32,796693.8,618072.3,22.42,157793
5000,64,796693.8,618888.3,22.32,153020
5000,128,796693.8,630804.0,20.82,146301
5000,256,796693.8,654118.8,17.9,135221
5000,512,796693.8,655494.6,17.72,132943
5000,1024,796693.8,672114.1,15.64,130368
5000,2048,796693.8,682580.5,14.32,114247
