run,solver,cost,time_sec
1,AIPSA-GM (fixed cooling),11.7429,3.54
1,AIPSA-GM (adaptive cooling),2.6966,4.65
2,AIPSA-GM (fixed cooling),9.2172,3.12
2,AIPSA-GM (adaptive cooling),4.7567,4.72
3,AIPSA-GM (fixed cooling),15.2939,3.55
3,AIPSA-GM (adaptive cooling),4.326,4.75
4,AIPSA-GM (fixed cooling),6.667,3.04
4,AIPSA-GM (adaptive cooling),3.9449,4.61
5,AIPSA-GM (fixed cooling),9.4058,3.4
5,AIPSA-GM (adaptive cooling),4.6293,4.65
6,AIPSA-GM (fixed cooling),14.6379,3.03
6,AIPSA-GM (adaptive cooling),3.913,5.23
7,AIPSA-GM (fixed cooling),3.6528,3.9
7,AIPSA-GM (adaptive cooling),4.9543,4.7
8,AIPSA-GM (fixed cooling),7.5411,3.06
8,AIPSA-GM (adaptive cooling),1.7053,5.23
9,AIPSA-GM (fixed cooling),5.8023,3.26
9,AIPSA-GM (adaptive cooling),3.7441,4.7
10,AIPSA-GM (fixed cooling),1.6066,3.01
10,AIPSA-GM (adaptive cooling),5.5375,4.66
