run,solver,cost,time_sec
1,Serial SA,15.0187,1.05
1,Baseline A,13.1011,1.32
1,Baseline B,3.9826,1.58
1,AIPSA-GM,7.2992,1.98
2,Serial SA,19.7179,1.03
2,Baseline A,11.7524,1.33
2,Baseline B,7.1737,1.61
2,AIPSA-GM,4.7871,2.0
3,Serial SA,16.5621,1.03
3,Baseline A,5.3605,1.35
3,Baseline B,9.2148,1.62
3,AIPSA-GM,3.5819,1.99
4,Serial SA,25.6877,1.04
4,Baseline A,13.0353,1.34
4,Baseline B,3.3508,1.62
4,AIPSA-GM,4.5812,2.0
5,Serial SA,14.0866,1.05
5,Baseline A,15.3967,1.32
5,Baseline B,4.9729,1.64
5,AIPSA-GM,8.0144,2.0
6,Serial SA,13.4566,1.03
6,Baseline A,16.4914,1.34
6,Baseline B,5.775,1.62
6,AIPSA-GM,4.7952,1.97
7,Serial SA,27.3321,1.04
7,Baseline A,10.5027,1.34
7,Baseline B,6.1794,1.63
7,AIPSA-GM,3.6599,2.0
8,Serial SA,24.1394,1.03
8,Baseline A,13.4908,1.34
8,Baseline B,4.405,1.63
8,AIPSA-GM,3.5678,2.0
9,Serial SA,21.4572,1.03
9,Baseline A,15.1363,1.35
9,Baseline B,9.0714,1.61
9,AIPSA-GM,4.2101,2.02
10,Serial SA,36.9295,1.03
10,Baseline A,11.521,1.35
10,Baseline B,7.9245,1.59
10,AIPSA-GM,4.7913,2.02
11,Serial SA,12.6155,1.03
11,Baseline A,11.0296,1.33
11,Baseline B,10.7254,1.62
11,AIPSA-GM,4.3553,2.0
12,Serial SA,12.4418,1.04
12,Baseline A,16.8451,1.31
12,Baseline B,5.0313,1.62
12,AIPSA-GM,5.4278,1.99
13,Serial SA,20.1627,1.03
13,Baseline A,16.0583,1.33
13,Baseline B,10.0643,1.61
13,AIPSA-GM,5.36,1.99
14,Serial SA,18.5274,1.09
14,Baseline A,18.1005,1.35
14,Baseline B,8.8336,1.64
14,AIPSA-GM,8.4244,2.0
15,Serial SA,24.1312,1.04
15,Baseline A,13.4739,1.35
15,Baseline B,4.9691,1.58
15,AIPSA-GM,5.9891,1.99
16,Serial SA,13.5696,1.03
16,Baseline A,12.1511,1.3
16,Baseline B,2.9819,1.59
16,AIPSA-GM,4.9394,1.99
17,Serial SA,25.2239,1.04
17,Baseline A,14.8359,1.33
17,Baseline B,10.8198,1.61
17,AIPSA-GM,4.0786,2.0
18,Serial SA,24.9557,1.04
18,Baseline A,8.3367,1.32
18,Baseline B,5.8246,1.61
18,AIPSA-GM,2.0941,2.01
19,Serial SA,11.9174,1.04
19,Baseline A,17.5064,1.36
19,Baseline B,9.862,1.59
19,AIPSA-GM,4.2748,2.0
20,Serial SA,12.539,1.04
20,Baseline A,11.9929,1.36
20,Baseline B,5.2582,1.61
20,AIPSA-GM,5.2286,1.98
21,Serial SA,18.9763,1.04
21,Baseline A,11.8689,1.34
21,Baseline B,6.5337,1.6
21,AIPSA-GM,5.0493,2.01
22,Serial SA,19.7157,1.03
22,Baseline A,8.895,1.32
22,Baseline B,4.3197,1.62
22,AIPSA-GM,6.6089,2.0
23,Serial SA,12.7871,1.04
23,Baseline A,8.3541,1.33
23,Baseline B,5.9018,1.6
23,AIPSA-GM,4.6179,1.98
24,Serial SA,10.0645,1.05
24,Baseline A,13.5031,1.35
24,Baseline B,6.169,1.58
24,AIPSA-GM,6.4,2.0
25,Serial SA,21.3219,1.03
25,Baseline A,14.483,1.34
25,Baseline B,8.7792,1.61
25,AIPSA-GM,5.9513,2.02
26,Serial SA,21.982,1.04
26,Baseline A,9.0136,1.32
26,Baseline B,12.7181,1.58
26,AIPSA-GM,5.5351,1.99
27,Serial SA,9.1631,1.04
27,Baseline A,17.3332,1.34
27,Baseline B,11.0289,1.61
27,AIPSA-GM,4.832,1.98
28,Serial SA,22.7253,1.04
28,Baseline A,17.2297,1.33
28,Baseline B,11.1886,1.61
28,AIPSA-GM,3.1108,1.99
29,Serial SA,18.3783,1.03
29,Baseline A,17.1262,1.3
29,Baseline B,9.2358,1.63
29,AIPSA-GM,2.7241,2.0
30,Serial SA,18.9305,1.04
30,Baseline A,20.2279,1.35
30,Baseline B,3.6536,1.58
30,AIPSA-GM,4.3044,2.0
31,Serial SA,15.1007,1.04
31,Baseline A,15.3114,1.37
31,Baseline B,6.7178,1.6
31,AIPSA-GM,4.1575,1.98
32,Serial SA,25.8683,1.04
32,Baseline A,14.0182,1.35
32,Baseline B,13.6916,1.6
32,AIPSA-GM,3.9118,2.0
33,Serial SA,21.7495,1.04
33,Baseline A,13.148,1.36
33,Baseline B,3.7954,1.58
33,AIPSA-GM,5.1787,2.0
34,Serial SA,21.9233,1.04
34,Baseline A,14.4751,1.34
34,Baseline B,8.4794,1.6
34,AIPSA-GM,4.9463,2.0
35,Serial SA,21.9021,1.05
35,Baseline A,14.3246,1.33
35,Baseline B,9.6787,1.58
35,AIPSA-GM,5.9885,2.0
36,Serial SA,17.9981,1.04
36,Baseline A,15.917,1.3
36,Baseline B,5.414,1.57
36,AIPSA-GM,5.5998,1.99
37,Serial SA,14.7694,1.04
37,Baseline A,13.5023,1.31
37,Baseline B,13.4585,1.58
37,AIPSA-GM,6.0627,2.0
38,Serial SA,18.3502,1.04
38,Baseline A,11.0949,1.33
38,Baseline B,8.2289,1.61
38,AIPSA-GM,2.8648,2.01
39,Serial SA,10.882,1.04
39,Baseline A,22.3945,1.32
39,Baseline B,15.0495,1.62
39,AIPSA-GM,5.6596,2.0
40,Serial SA,12.9068,1.04
40,Baseline A,14.1278,1.32
40,Baseline B,6.8705,1.6
40,AIPSA-GM,4.4707,1.99
