n_islands,solver,mean_cost,best_cost,mean_time
2,Serial SA,21.2449,12.7841,1.58
2,Baseline A,18.417,13.7457,1.82
2,Baseline B,12.4035,7.5374,3.11
2,AIPSA-GM (guided),5.694,2.5302,4.08
4,Serial SA,21.2449,12.7841,1.58
4,Baseline A,13.748,6.9115,1.9
4,Baseline B,7.7996,3.5644,3.28
4,AIPSA-GM (guided),5.3095,2.1363,4.35
8,Serial SA,21.2449,12.7841,1.59
8,Baseline A,10.0024,6.526,2.13
8,Baseline B,4.1857,2.398,4.13
8,AIPSA-GM (guided),4.4266,2.58,5.3
16,Serial SA,21.2449,12.7841,1.59
16,Baseline A,10.3828,7.8809,3.06
16,Baseline B,4.111,1.3103,6.67
16,AIPSA-GM (guided),2.7264,1.6394,9.23
