run,topology,cost,time_sec
1,AIPSA-GM (ring),6.2303,5.25
1,AIPSA-GM (full),5.0831,5.45
1,AIPSA-GM (random_k),2.2202,4.39
2,AIPSA-GM (ring),3.682,4.44
2,AIPSA-GM (full),3.1895,4.76
2,AIPSA-GM (random_k),4.8026,4.47
3,AIPSA-GM (ring),5.7172,4.37
3,AIPSA-GM (full),5.6033,4.74
3,AIPSA-GM (random_k),6.5105,5.18
4,AIPSA-GM (ring),5.6834,4.46
4,AIPSA-GM (full),4.7218,4.67
4,AIPSA-GM (random_k),2.9831,4.46
5,AIPSA-GM (ring),5.7991,4.38
5,AIPSA-GM (full),4.4373,4.7
5,AIPSA-GM (random_k),4.4165,4.63
6,AIPSA-GM (ring),5.2706,5.19
6,AIPSA-GM (full),2.9786,4.92
6,AIPSA-GM (random_k),5.9257,5.1
7,AIPSA-GM (ring),4.41,5.68
7,AIPSA-GM (full),3.2941,4.77
7,AIPSA-GM (random_k),6.4563,5.02
8,AIPSA-GM (ring),3.42,4.87
8,AIPSA-GM (full),2.8845,4.92
8,AIPSA-GM (random_k),3.2775,5.5
9,AIPSA-GM (ring),4.5933,4.5
9,AIPSA-GM (full),5.1488,5.51
9,AIPSA-GM (random_k),4.0963,4.4
10,AIPSA-GM (ring),3.5407,4.41
10,AIPSA-GM (full),4.0851,5.25
10,AIPSA-GM (random_k),5.1211,4.57
