run,solver,cost,time_sec
1,Serial SA,105.3179,4.58
1,Baseline A,108.9418,5.1
1,Baseline B,69.3414,8.52
1,AIPSA-GM (guided),76.4401,10.07
2,Serial SA,91.786,4.65
2,Baseline A,76.7525,5.07
2,Baseline B,100.7493,8.72
2,AIPSA-GM (guided),83.8607,10.02
3,Serial SA,66.5872,4.61
3,Baseline A,93.7386,4.99
3,Baseline B,76.2824,8.53
3,AIPSA-GM (guided),62.1299,10.06
4,Serial SA,87.2257,4.55
4,Baseline A,96.4014,4.91
4,Baseline B,60.7822,8.49
4,AIPSA-GM (guided),79.4323,9.95
5,Serial SA,94.2124,4.6
5,Baseline A,100.3913,4.98
5,Baseline B,82.9357,8.47
5,AIPSA-GM (guided),73.239,10.0
6,Serial SA,81.6814,4.6
6,Baseline A,69.1464,4.97
6,Baseline B,90.7224,8.5
6,AIPSA-GM (guided),76.5804,10.07
7,Serial SA,110.9221,4.59
7,Baseline A,113.264,5.02
7,Baseline B,93.184,8.58
7,AIPSA-GM (guided),84.0116,9.87
8,Serial SA,97.0284,4.63
8,Baseline A,106.9726,5.16
8,Baseline B,77.9838,8.51
8,AIPSA-GM (guided),87.0021,9.91
9,Serial SA,100.1433,4.73
9,Baseline A,105.1232,4.92
9,Baseline B,67.469,8.46
9,AIPSA-GM (guided),88.8127,10.05
10,Serial SA,150.2769,4.58
10,Baseline A,92.7005,4.9
10,Baseline B,76.4604,8.5
10,AIPSA-GM (guided),49.2557,9.94
11,Serial SA,110.4196,4.59
11,Baseline A,93.1094,4.94
11,Baseline B,74.8047,8.58
11,AIPSA-GM (guided),85.15,10.04
12,Serial SA,120.3204,4.6
12,Baseline A,113.8934,4.94
12,Baseline B,46.4725,8.69
12,AIPSA-GM (guided),76.0401,9.92
13,Serial SA,118.4942,4.6
13,Baseline A,63.1451,4.97
13,Baseline B,68.8329,8.47
13,AIPSA-GM (guided),71.5942,9.91
14,Serial SA,158.5317,4.62
14,Baseline A,91.1639,4.96
14,Baseline B,61.1238,8.69
14,AIPSA-GM (guided),89.4551,10.0
15,Serial SA,122.7182,4.62
15,Baseline A,78.3957,4.99
15,Baseline B,93.3756,8.5
15,AIPSA-GM (guided),63.4236,10.0
16,Serial SA,72.1642,4.6
16,Baseline A,97.3658,5.04
16,Baseline B,69.5963,8.56
16,AIPSA-GM (guided),81.389,9.97
17,Serial SA,112.1307,4.65
17,Baseline A,93.1751,5.0
17,Baseline B,64.5538,8.62
17,AIPSA-GM (guided),63.2845,9.99
18,Serial SA,112.998,4.63
18,Baseline A,99.7762,5.19
18,Baseline B,86.5858,8.42
18,AIPSA-GM (guided),71.3593,9.67
19,Serial SA,132.9179,4.56
19,Baseline A,96.1038,5.03
19,Baseline B,59.2562,8.67
19,AIPSA-GM (guided),63.2934,10.01
20,Serial SA,89.3158,4.6
20,Baseline A,112.8425,4.94
20,Baseline B,83.3312,8.6
20,AIPSA-GM (guided),86.7549,9.6
