run,policy,cost,time_sec
1,AIPSA-GM (random),83.6217,9.53
1,AIPSA-GM (best_only),87.2751,9.28
1,AIPSA-GM (quality_only),57.9662,9.27
1,AIPSA-GM (guided),69.5355,9.33
2,AIPSA-GM (random),59.967,9.22
2,AIPSA-GM (best_only),81.8762,9.28
2,AIPSA-GM (quality_only),65.0021,9.31
2,AIPSA-GM (guided),61.7313,9.27
3,AIPSA-GM (random),73.9874,9.81
3,AIPSA-GM (best_only),83.8728,10.37
3,AIPSA-GM (quality_only),73.804,9.9
3,AIPSA-GM (guided),45.0299,11.19
4,AIPSA-GM (random),90.6807,11.34
4,AIPSA-GM (best_only),84.8693,9.91
4,AIPSA-GM (quality_only),82.8899,10.78
4,AIPSA-GM (guided),66.7157,10.16
5,AIPSA-GM (random),88.5714,9.98
5,AIPSA-GM (best_only),88.1773,10.13
5,AIPSA-GM (quality_only),72.2234,9.79
5,AIPSA-GM (guided),66.3052,9.86
6,AIPSA-GM (random),93.6917,9.76
6,AIPSA-GM (best_only),75.4257,10.49
6,AIPSA-GM (quality_only),83.8133,11.06
6,AIPSA-GM (guided),46.0062,10.19
7,AIPSA-GM (random),81.7155,10.11
7,AIPSA-GM (best_only),86.738,10.54
7,AIPSA-GM (quality_only),84.126,10.32
7,AIPSA-GM (guided),73.0954,10.13
8,AIPSA-GM (random),77.7573,10.42
8,AIPSA-GM (best_only),78.0934,11.46
8,AIPSA-GM (quality_only),83.1298,10.83
8,AIPSA-GM (guided),55.3379,10.55
9,AIPSA-GM (random),64.613,10.8
9,AIPSA-GM (best_only),85.815,10.53
9,AIPSA-GM (quality_only),69.8572,10.67
9,AIPSA-GM (guided),80.7516,10.31
10,AIPSA-GM (random),64.2431,10.69
10,AIPSA-GM (best_only),92.9645,10.48
10,AIPSA-GM (quality_only),78.9153,10.51
10,AIPSA-GM (guided),87.274,10.64
