n_islands,solver,mean_cost,best_cost,mean_time
2,Serial SA,46544.3397,46048.6816,13.52
2,Baseline A,46229.5045,46048.6816,14.57
2,Baseline B,35023.2556,34157.2779,23.68
2,AIPSA-GM,40005.5742,39851.4282,13.5
4,Serial SA,46544.3397,46048.6816,13.42
4,Baseline A,45981.5497,45623.9406,15.86
4,Baseline B,33525.2641,33377.391,27.04
4,AIPSA-GM,35338.4419,35088.6887,14.77
8,Serial SA,46544.3397,46048.6816,13.75
8,Baseline A,45961.7187,45564.4477,19.35
8,Baseline B,32069.1185,31872.9534,32.82
8,AIPSA-GM,33655.8811,33534.385,17.97
16,Serial SA,46544.3397,46048.6816,13.75
16,Baseline A,45931.6962,45564.4477,24.59
16,Baseline B,30973.4552,30491.7688,45.49
16,AIPSA-GM,32585.4721,31617.6579,24.16
