run,topology,cost,time_sec
1,AIPSA-GM (ring),30166.4447,21.45
1,AIPSA-GM (full),28534.1383,22.47
1,AIPSA-GM (random_k),29650.7425,22.42
2,AIPSA-GM (ring),30282.0626,23.13
2,AIPSA-GM (full),29637.8459,24.63
2,AIPSA-GM (random_k),30226.4851,22.96
3,AIPSA-GM (ring),29267.1121,21.61
3,AIPSA-GM (full),29306.0564,22.67
3,AIPSA-GM (random_k),29982.062,21.65
4,AIPSA-GM (ring),30105.6217,21.62
4,AIPSA-GM (full),29069.7069,22.74
4,AIPSA-GM (random_k),30259.5826,21.85
5,AIPSA-GM (ring),30704.0063,21.74
5,AIPSA-GM (full),29654.7587,22.76
5,AIPSA-GM (random_k),30244.8685,21.72
