run,solver,cost,time_sec
1,Serial SA,164818.7904,15.9
1,Baseline A,163038.0151,18.61
1,Baseline B,154442.5437,19.28
1,AIPSA-GM,111680.6865,20.69
2,Serial SA,162362.0718,15.1
2,Baseline A,162362.0718,19.27
2,Baseline B,156383.4898,17.75
2,AIPSA-GM,110897.6023,21.11
3,Serial SA,165631.5539,15.62
3,Baseline A,161284.3445,18.77
3,Baseline B,156084.6005,17.79
3,AIPSA-GM,109250.0108,19.68
4,Serial SA,161799.7447,15.43
4,Baseline A,161799.7447,18.32
4,Baseline B,154527.2063,18.51
4,AIPSA-GM,109745.4152,20.04
5,Serial SA,161000.0776,15.11
5,Baseline A,161000.0776,18.37
5,Baseline B,154679.7866,19.13
5,AIPSA-GM,109510.2285,20.67
