run,policy,cost,time_sec
1,AIPSA-GM (random),182882.0586,31.33
1,AIPSA-GM (best_only),175922.7175,31.06
1,AIPSA-GM (quality_only),180083.5197,39.51
1,AIPSA-GM (guided),178592.8313,37.4
2,AIPSA-GM (random),181525.6683,31.15
2,AIPSA-GM (best_only),176469.8083,29.96
2,AIPSA-GM (quality_only),176679.4996,37.89
2,AIPSA-GM (guided),177721.9446,36.73
3,AIPSA-GM (random),184912.6027,30.63
3,AIPSA-GM (best_only),178156.8325,31.27
3,AIPSA-GM (quality_only),178731.794,37.71
3,AIPSA-GM (guided),177547.5244,37.68
4,AIPSA-GM (random),177725.5375,31.27
4,AIPSA-GM (best_only),177020.8585,30.73
4,AIPSA-GM (quality_only),179359.2319,36.96
4,AIPSA-GM (guided),177578.1377,35.34
5,AIPSA-GM (random),179938.6638,31.24
5,AIPSA-GM (best_only),176931.1204,29.06
5,AIPSA-GM (quality_only),177816.7862,35.64
5,AIPSA-GM (guided),176606.6274,37.07
6,AIPSA-GM (random),184293.0803,31.34
6,AIPSA-GM (best_only),177076.5674,31.61
6,AIPSA-GM (quality_only),178386.9827,36.94
6,AIPSA-GM (guided),177428.6705,37.07
7,AIPSA-GM (random),186110.8217,29.31
7,AIPSA-GM (best_only),179742.679,30.42
7,AIPSA-GM (quality_only),178396.0462,36.3
7,AIPSA-GM (guided),176959.3364,35.3
8,AIPSA-GM (random),178368.041,29.89
8,AIPSA-GM (best_only),175035.9016,30.92
8,AIPSA-GM (quality_only),175451.2539,37.85
8,AIPSA-GM (guided),177706.4223,36.48
9,AIPSA-GM (random),179853.7432,32.01
9,AIPSA-GM (best_only),174467.4527,31.57
9,AIPSA-GM (quality_only),175612.325,37.94
9,AIPSA-GM (guided),178075.0454,36.96
10,AIPSA-GM (random),184565.2099,30.06
10,AIPSA-GM (best_only),177940.5096,29.1
10,AIPSA-GM (quality_only),177652.98,35.46
10,AIPSA-GM (guided),177592.5424,35.54
